"coder_id"	"content_id"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V12"	"V13"	"V14"	"V15"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"some"
"A"	"FI001"	315	1	2	1	2	1	1	0	1	0	0	3	1	1	1	0	0	1	1	1	1	0	0	1	1	1	6	2	"FI001"
"A"	"FI002"	311	1	1	0	99	99	99	0	0	1	0	10	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	"FI002"
"A"	"FI003"	311	1	1	0	99	99	99	0	1	0	0	11	11	0	1	0	0	0	1	0	0	0	0	0	1	1	4	1	"FI003"
"A"	"FI004"	313	1	1	1	2	99	99	0	0	1	0	99	99	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	"FI004"
"A"	"FI005"	314	1	1	1	2	99	99	0	1	1	0	99	1	1	1	1	1	1	0	0	0	0	0	1	1	1	7	1	"FI005"
"A"	"FI006"	315	1	1	0	99	99	99	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	4	2	"FI006"
"A"	"FI007"	315	1	1	1	2	1	1	0	1	1	0	10	11	0	0	0	0	0	0	1	1	1	0	0	0	1	3	2	"FI007"
"A"	"FI008"	314	2	1	1	2	1	1	0	1	0	0	10	11	0	0	0	1	1	1	0	1	1	1	0	0	0	6	2	"FI008"
"A"	"FI009"	315	1	1	1	1	0	99	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	"FI009"
"A"	"FI010"	315	1	1	1	1	0	99	1	0	1	0	10	1	0	0	0	0	1	1	0	1	1	1	0	1	0	6	2	"FI010"
"B"	"FI001"	315	1	2	1	2	1	1	0	1	0	0	3	1	0	1	1	0	1	1	1	1	0	0	1	0	0	5	3	"FI001"
"B"	"FI002"	311	1	1	0	99	99	99	0	0	1	0	10	2	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	"FI002"
"B"	"FI003"	311	1	1	0	99	99	99	0	1	0	0	11	11	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	"FI003"
"B"	"FI004"	313	1	1	1	2	99	99	0	0	1	0	12	2	0	1	1	0	0	0	0	0	0	0	1	0	1	3	1	"FI004"
"B"	"FI005"	314	1	1	1	2	0	99	0	1	1	0	12	1	0	1	1	1	1	0	0	0	0	0	1	0	0	4	1	"FI005"
"B"	"FI006"	315	1	1	0	99	99	99	0	0	0	0	1	4	0	0	0	0	1	1	0	1	1	0	0	1	1	5	1	"FI006"
"B"	"FI007"	315	1	1	1	2	1	1	0	1	1	0	10	11	0	1	0	0	1	1	1	1	0	1	0	0	1	5	2	"FI007"
"B"	"FI008"	314	2	2	1	2	1	0	0	1	0	0	10	11	0	1	1	1	0	1	0	1	0	1	0	0	0	5	3	"FI008"
"B"	"FI009"	315	1	2	1	1	99	99	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	1	0	0	1	3	3	"FI009"
"B"	"FI010"	315	1	2	1	1	0	99	1	0	1	0	10	1	0	0	0	0	1	1	0	1	1	1	0	1	0	5	3	"FI010"
